date,beds,psf,area,price
2023-09-01,2,5.06,850,4300
2023-08-01,2,4.94,850,4200
2023-08-01,1,6.55,550,3450
2023-08-01,2,4.94,850,4200
2023-08-01,1,6.86,450,3250
2023-07-01,3,4.29,1250,5500
2023-07-01,2,5.29,850,4500
2023-07-01,3,4.64,1450,6500
2023-07-01,3,2.75,1750,4700
2023-07-01,1,5.31,550,2800
2023-07-01,2,4.0,950,3800
2023-07-01,2,4.65,950,4200
2023-07-01,1,5.06,450,2400
2023-07-01,1,5.7,450,2700
2023-07-01,1,6.12,450,2900
2023-06-01,2,4.76,950,4300
2023-06-01,2,4.98,950,4500
2023-06-01,2,4.32,950,4100
2023-05-01,1,6.75,450,3200
2023-05-01,2,5.31,950,4800
2023-05-01,2,4.42,950,4000
2023-04-01,2,4.21,950,4000
2023-04-01,2,4.2,950,3800
2023-04-01,2,4.94,850,4200
2023-04-01,1,5.49,450,2600
2023-04-01,2,4.94,850,4200
2023-04-01,1,5.91,450,2800
2023-04-01,2,5.18,850,4400
2023-03-01,2,4.71,850,4000
2023-03-01,3,4.06,1250,5200
2023-03-01,2,5.41,850,4600
2023-03-01,2,3.76,850,3200
2023-03-01,2,4.42,950,4000
2023-03-01,2,4.65,950,4200
2023-03-01,2,4.94,850,4200
2023-03-01,2,4.35,850,3700
2023-02-01,1,5.7,450,2700
2023-02-01,3,2.84,1550,4500
2023-02-01,1,6.12,450,2900
2023-02-01,2,4.47,850,3800
2023-02-01,1,4.55,550,2400
2023-02-01,3,5.23,1250,6700
2023-02-01,1,5.91,450,2800
2023-01-01,1,5.91,450,2800
2023-01-01,1,6.64,550,3500
2023-01-01,1,4.65,550,2450
2023-01-01,2,5.42,950,4900
2022-12-01,2,3.87,950,3500
2022-12-01,3,3.02,1650,5000
2022-12-01,1,5.06,450,2400
2022-12-01,1,5.8,450,2750
2022-11-01,2,4.87,950,4400
2022-11-01,2,5.65,850,4800
2022-11-01,1,5.91,450,2800
2022-11-01,2,3.87,950,3500
2022-11-01,1,5.12,550,2700
2022-11-01,1,4.36,550,2300
2022-11-01,2,4.31,950,3900
2022-11-01,3,4.06,1250,5200
2022-10-01,2,4.76,950,4300
2022-10-01,1,5.04,450,2440
2022-10-01,2,4.16,950,3850
2022-10-01,2,4.87,950,4400
2022-10-01,2,5.29,850,4500
2022-10-01,2,4.12,850,3500
2022-10-01,2,4.76,950,4300
2022-10-01,2,4.98,950,4500
2022-09-01,2,4.42,950,4000
2022-09-01,2,3.76,950,3400
2022-09-01,2,3.87,950,3500
2022-09-01,2,3.53,850,3000
2022-08-01,1,4.45,550,2350
2022-08-01,2,4.42,950,4000
2022-08-01,1,5.7,450,2700
2022-08-01,2,4.31,950,3900
2022-07-01,2,3.78,950,3500
2022-07-01,2,3.98,950,3900
2022-07-01,2,4.26,850,3800
2022-07-01,1,3.98,550,2100
2022-07-01,3,4.2,1250,5200
2022-07-01,1,4.22,450,2000
2022-07-01,1,5.59,450,2650
2022-07-01,3,2.89,1750,5000
2022-07-01,1,4.85,450,2300
2022-07-01,2,4.47,850,3800
2022-06-01,2,4.05,1050,4100
2022-06-01,1,4.17,550,2200
2022-06-01,2,3.68,950,3400
2022-06-01,2,4.11,850,3500
2022-06-01,1,5.7,450,2700
2022-06-01,2,3.32,950,3000
2022-06-01,2,3.1,950,2800
2022-05-01,2,3.6,950,3250
2022-05-01,3,3.28,1250,4200
2022-05-01,1,5.7,450,2700
2022-04-01,1,5.49,450,2600
2022-04-01,2,4.23,850,3600
2022-04-01,2,3.98,950,3600
2022-04-01,1,4.43,450,2100
2022-04-01,2,3.51,850,2980
2022-04-01,2,3.65,950,3300
2022-03-01,2,4.26,850,3800
2022-03-01,2,2.98,950,2700
2022-03-01,1,4.36,550,2300
2022-03-01,2,3.67,950,3400
2022-03-01,1,3.98,550,2100
2022-03-01,2,3.65,850,3100
2022-03-01,1,4.36,550,2300
2022-03-01,2,4.12,850,3500
2022-02-01,1,4.64,450,2200
2022-02-01,2,3.64,1250,4500
2022-02-01,2,3.29,850,2800
2022-02-01,2,3.88,850,3300
2022-02-01,3,2.58,1250,3300
2022-01-01,2,3.29,850,2800
2022-01-01,3,3.08,1250,3950
2021-12-01,2,3.26,950,2950
2021-12-01,2,3.48,950,3150
2021-12-01,2,2.91,1250,3600
2021-12-01,1,4.22,450,2000
2021-12-01,2,3.54,950,3200
2021-12-01,2,3.21,950,2900
2021-12-01,1,3.8,550,2000
2021-12-01,2,3.06,850,2600
2021-12-01,3,2.05,1650,3400
2021-11-01,1,4.43,450,2100
2021-11-01,1,4.36,550,2300
2021-11-01,1,5.27,450,2500
2021-11-01,1,3.8,550,2000
2021-11-01,1,4.55,550,2400
2021-11-01,3,3.12,1250,4000
2021-10-01,1,3.8,550,2000
2021-10-01,2,3.2,850,2725
2021-10-01,2,3.19,950,2950
2021-10-01,2,3.54,950,3200
2021-10-01,2,2.96,950,2680
2021-10-01,1,4.64,450,2200
2021-10-01,3,2.21,2250,5000
2021-09-01,2,3.03,950,2800
2021-09-01,2,3.32,950,3000
2021-09-01,1,4.55,450,2200
2021-09-01,1,4.23,450,2050
2021-09-01,2,3.1,950,2800
2021-09-01,2,3.29,850,2800
2021-08-01,1,4.43,450,2100
2021-08-01,2,3.15,950,2850
2021-08-01,2,2.99,950,2700
2021-07-01,1,4.01,450,1900
2021-07-01,1,3.51,550,2000
2021-07-01,2,3.25,850,2900
2021-07-01,2,3.32,950,3000
2021-07-01,2,2.99,950,2700
2021-07-01,1,4.43,450,2100
2021-07-01,2,3.32,950,3000
2021-07-01,2,2.96,1050,3000
2021-07-01,2,3.29,850,2800
2021-07-01,3,2.57,1450,3600
2021-07-01,1,3.98,550,2100
2021-06-01,2,2.99,950,2700
2021-06-01,2,3.46,950,3200
2021-06-01,2,2.17,1050,2200
2021-06-01,3,2.65,1250,3400
2021-06-01,2,3.29,850,2800
